Trascrizione,Standard,Gruppo 0,Gruppo 1,Gruppo 2,Gruppo 3,Gruppo 4,Corporazione
marzer marzer et tellariuol,marzer e talariol,marzer e talariol,merciaio,merciai,commercio,servizi,marzeri
mascarer,mascarer,mascheraio,mascheraio,mascheraio,decorazioni e mestieri dell'arte,beni,dipintori
mascharer,mascarer,mascheraio,mascheraio,mascheraio,decorazioni e mestieri dell'arte,beni,dipintori
mascherer,mascarer,mascheraio,mascheraio,mascheraio,decorazioni e mestieri dell'arte,beni,dipintori
masena di colori,arte dei colori,macinatore di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
medaglier,medaglier,medagliere,medagliere,altro,oggettistica,beni,
mercante da colori,mercante da colori,mercante da colori,mercante - diverse specializzazioni,piccolo e medio commercio,commercio,servizi,spezieri
merzari,marzer,marzer,merciaio,merciai,commercio,servizi,marzeri
merzer,marzer,marzer,merciaio,merciai,commercio,servizi,marzeri
miniador,miniador,miniador,miniatori,miniatori,decorazioni e mestieri dell'arte,beni,dipintori
miniador da specchi,miniador da spechi,miniatore da specchi,miniatori,miniatori,decorazioni e mestieri dell'arte,beni,dipintori
miniador da spechi,miniador da spechi,miniatore da specchi,miniatori,miniatori,decorazioni e mestieri dell'arte,beni,dipintori
miniador da veri,miniador da veri,miniatore da vetro,miniatori,miniatori,decorazioni e mestieri dell'arte,beni,dipintori
miniador de santi,miniador da santi,miniatore da santi,miniatori,miniatori,decorazioni e mestieri dell'arte,beni,dipintori
mosaicista,arte del mosaico,mosaicista,mosaicista,mosaicista,decorazioni e mestieri dell'arte,beni,
murer,murer,muratore,muratore,edilizia,costruzioni,beni,mureri
murer,murer,muratore,muratore,edilizia,costruzioni,beni,mureri
murer da quadri,murer da quadri,muratore,muratore,edilizia,costruzioni,beni,mureri
murer e marangon,murer e marangon,muratore e falegname,muratore,edilizia,costruzioni,beni,mureri
murer?,murer,muratore,muratore,edilizia,costruzioni,beni,mureri
orefice,orese,orefice,orefice,oro e preziosi,oggettistica,beni,orefici e gioiellieri
orefice,orese,orefice,orefice,oro e preziosi,oggettistica,beni,orefici e gioiellieri
orefice falso,orese falso,orefice - diverse specializzazioni,orefice,oro e preziosi,oggettistica,beni,orefici e gioiellieri
orese,orese,orefice,orefice,oro e preziosi,oggettistica,beni,orefici e gioiellieri
orese,orese,orefice,orefice,oro e preziosi,oggettistica,beni,orefici e gioiellieri
orese batidor,orese batidor,orefice - diverse specializzazioni,orefice,oro e preziosi,oggettistica,beni,orefici e gioiellieri
orese ceselador,orese ceselador,orefice - diverse specializzazioni,orefice,oro e preziosi,oggettistica,beni,orefici e gioiellieri
oresse,orese,orefice,orefice,oro e preziosi,oggettistica,beni,orefici e gioiellieri
organista,organista,organista,organista,musica,altri servizi,servizi,
partioro,partioro,fonditore di oro,zecca,stampa,altre lavorazioni manifatturiere,beni,zecca
pater nostrer da vero,paternostrer da vero,paternoster - diverse specializzazioni,paternosteri o margariteri,vetro,oggettistica,beni,paternosteri e cristalleri
paternoster,paternostrer,paternoster,paternosteri o margariteri,vetro,oggettistica,beni,paternosteri e cristalleri
paternoster da speo,paternostrer da speo,paternoster - diverse specializzazioni,paternosteri o margariteri,vetro,oggettistica,beni,paternosteri e cristalleri
paternoster di trapano,paternoster di trapano,paternoster - diverse specializzazioni,paternosteri o margariteri,vetro,oggettistica,beni,paternosteri e cristalleri
paternostrer,paternostrer,paternoster,paternosteri o margariteri,vetro,oggettistica,beni,paternosteri e cristalleri
paternostrer da legno,paternostrer da legno,coronaio - diverse specializzazioni,fabbricazione corone,altro,oggettistica,beni,coroneri
