Aleph system no.;Country code;Language code (008);Language code (041);DDC;Personal author;Corporate author;Title;Edition;Imprint;Series;Subjects;Other personal authors;Other corporate authors;DOM ID;Type;Genre;first_pdf
14840277;|||;eng;;;HILL, N. N.;;"History of Licking County, O. Its past and present. Containing a ... history of Ohio [by A. A. Graham]; ... a complete history of Licking County; ... a history of its soldiers in the late war [by C. D. Miller] ... Compiled by N. N. H. Illustrated. [electronic resource]";;Newark, Ohio : A. A. Graham & Co., 1881.;;;;;lsidyv358cc85f;story;Prose;lsidyv358cc85f
14804950;|||;eng;;;Beecham, John.;;Ashantee and the Gold Coast: being a sketch of the history, social state, and superstitions of the inhabitants of those countries: with a notice of the state and prospects of Christianity among them. [With a map.] [electronic resource];;London : John Mason, 1841.;;;METCALFE, George Edgar.;;lsidyv38fa87d5;story;Prose;lsidyv38fa87d5
14817194;enk;eng;;;Linné, Carl von, 1707-1778.;;"Elements of natural history; being an introduction to the Systema Naturae of Linnaeus comprising the character of the whole genera, and most remarkable species, particularly of ... natives of Britain. [electronic resource]";;"London ; Edinburgh [printed], 1801, 02.";;;;;lsidyv392ae965 -- lsidyv3c877147;story;Prose;lsidyv392ae965
14808830;|||;eng;;;Dawson, William Harbutt, 1860-1948.;;History of Skipton ... With illustrations, etc. [electronic resource];;"London : Simpkin, Marshall & Co. ; Skipton : Edmondson & Co., 1882.";;;;;lsidyv3c1faf51;story;Prose;lsidyv3c1faf51
15106060;|||;eng;;;JENNINGS, George Henry.;;An Anecdotal History of the British Parliament ... Third edition with additions, etc. [electronic resource];;London : H. Cox, 1892.;;;;;lsidyv3886bae7;story;Prose;lsidyv3886bae7
15742820;|||;eng;;;Gibson, John, M.A.;;History made easy: an epitome of English History, etc. [electronic resource];;London : Reeves & Turner, 1882.;;;;;lsidyv389d6407;story;Prose;lsidyv389d6407
14880468;|||;eng;;;WILLS, William Arthur, and COLLINGRIDGE (Leonard Thomas);;The Downfall of Lobengula: the cause, history, and effect of the Matabeli war ... With contributions by ... P. W. Forbes ... Sir J. C. Willoughby ... H. R. Haggard ... F. C. Selous ... and ... P. B. S. Wrey. [electronic resource];;London : The African Review Offices, [1894];;;COLLINGRIDGE, Leonard Thomas. -- Lobengula, King of the Matabele, ca.1833-1893?.;;lsidyv375b23e6 -- lsidyv2afa10ec;story;Prose;lsidyv375b23e6
14839284;|||;eng;;;AVERY, Benjamin Parke.;;Californian Pictures in Prose and Verse. [With plates.] [electronic resource];;New York : Hurd & Houghton, 1878.;;;;;lsidyv358816aa;verse;Poetry;lsidyv358816aa
14867523;|||;eng;;;;;The Rose, Shamrock and Thistle Alphabet of original Verse, retouched, with additions to greet the Jubilee. [electronic resource];;Exeter : W. J. Southwood, 1887.;;;;;lsidyv3689ce5a;verse;Poetry;lsidyv3689ce5a
15115674;|||;eng;;;GREENE, George Washington.;;A Discourse delivered before the Rhode-Island Historical Society, etc. [electronic resource];;Providence, 1849.;;;;;lsidyv38c6cb7b;ode;Poetry;lsidyv38c6cb7b
14871621;|||;eng;;;DYER, Thomas Henry.;;The History of Modern Europe, from the fall of Constantinople in 1453 to the war in the Crimea in 1857. [electronic resource];;London, 1861-64.;;;;;lsidyv37522735 -- lsidyv3751ab39 -- lsidyv37519b64 -- lsidyv3751ed25;ode;Poetry;lsidyv37522735
14815842;|||;eng;;;Leonard, Arthur Glyn.;;How we made Rhodesia. [electronic resource];;London : Kegan Paul & Co., 1896.;;;;;lsidyv3c94dbfc;ode;Poetry;lsidyv3c94dbfc
14872042;|||;eng;;;;;The Jacobite Conventicle. A poem [By Richard Ames]. [electronic resource];;London, 1692.;;;AMES, Richard, Student of Lincoln's Inn.;;lsidyv3706ab53;poet;Poetry;lsidyv3706ab53
14840266;|||;eng;;;HENSON, Henry.;;The Story of a Trip to Switzerland of Seven Birmingham Men ... Supplemented in verse by an old friend. Illustrated. [With portraits.] [electronic resource];;Birmingham : Geo. Jones & Son, 1896.;;;;;lsidyv358a0e4a;verse;Poetry;lsidyv358a0e4a
14824098;|||;eng;;;SLATER, Ernest Ethelbert, and LAYCOCK (William) of Yeadon.;;Yeadon, a Yorkshire Village. A short account ... compiled for the use of the delegates attending the conference of the Yorkshire Union of Mechanics' Institutes, etc. [electronic resource];;Leeds : Walker & Laycock, 1884.;;;LAYCOCK, William, of Yeadon.;;lsidyv301cc0f4;elegy;Poetry;lsidyv301cc0f4
14825873;|||;eng;;;MOORE, John, Correspondent of the “Morning Chronicle”.;;A journey from London to Odessa, with notices of New Russia, etc. [electronic resource];;Paris : printed for the Author, 1833.;;;;;lsidyv3bee87d9;ode;Poetry;lsidyv3bee87d9
14767562;|||;eng;;;CARNE, Joseph Edmund.;;"Notes on Chromic Iron Ore: its modes of occurrence, mining, dressing, uses and value; with a register of New South Wales localities. [electronic resource]";;Sydney, 1898.;[New South Wales Geological Survey. Mineral Resources. no. 1.];;;;lsidyv3c334635;ode;Poetry;lsidyv3c334635
